event_time,open,close,high,low,volume
1562328000000,0.00449,0.0042,0.0046,0.00376,60726008
1562328060000,0.0041999,0.0043,0.004387,0.0041998,84307704
1562328120000,0.0043001,0.0044745,0.0044745,0.0043,48182744
1562328180000,0.00445,0.00425,0.00445,0.004169,66457853
1562328240000,0.0042501,0.00435,0.004385,0.0042501,22016425
1562328300000,0.0043402,0.004281,0.0043402,0.0042538,13095442
1562328360000,0.00429,0.00413,0.0043,0.00413,58156052
1562328420000,0.0041276,0.0041304,0.0041895,0.00405,43984322
1562328480000,0.0041161,0.0041,0.0041675,0.0041,20857272
1562328540000,0.0041,0.0040216,0.0041173,0.004,15192433
1562328600000,0.0040216,0.0039701,0.0040687,0.0039661,13611631
1562328660000,0.0039735,0.0038693,0.00399,0.0038693,38008712
1562328720000,0.003866,0.0038838,0.0039373,0.0038648,32401591
1562328780000,0.0039094,0.00381,0.0039094,0.0038,82344866
1562328840000,0.0038094,0.00387,0.0039,0.0038022,16290740
1562328900000,0.0038609,0.00388,0.0039059,0.0038591,15465942
1562328960000,0.00388,0.00391,0.0039146,0.0038702,11651689
1562329020000,0.00391,0.0039156,0.00394,0.0039025,19958969
1562329080000,0.0039156,0.0038967,0.0039156,0.0038899,21665879
1562329140000,0.00389,0.0039289,0.0039321,0.0038808,5243536
1562329200000,0.0039288,0.003953,0.0039642,0.0039288,13822989
1562329260000,0.0039401,0.0039,0.003946,0.0039,6712515
1562329320000,0.0039245,0.003955,0.003955,0.0039236,21284688
1562329380000,0.0039337,0.00392,0.003942,0.0039129,5160645
1562329440000,0.0039253,0.0038765,0.0039253,0.0038702,20049505
1562329500000,0.0038702,0.0038495,0.0038726,0.00381,18494413
1562329560000,0.0038431,0.0038556,0.0038579,0.0038136,4863856
1562329620000,0.0038436,0.0038395,0.003855,0.0038395,4597938
1562329680000,0.0038395,0.0037814,0.0038395,0.0037627,14164687
1562329740000,0.0037814,0.0038104,0.0038104,0.0037814,12415741
1562329800000,0.0038229,0.00381,0.0038229,0.003782,4488370
1562329860000,0.0038069,0.00386,0.00386,0.0038069,6436490
1562329920000,0.0038569,0.0038471,0.0038599,0.0038102,6321878
1562329980000,0.0038469,0.0038403,0.003847,0.0038131,1257411
1562330040000,0.0038426,0.0038983,0.0038984,0.0038426,1974448
1562330100000,0.0038983,0.003898,0.0038983,0.0038601,405921
1562330160000,0.00388,0.0038721,0.0039196,0.0038702,8559943
1562330220000,0.0038995,0.0038602,0.0039,0.0038602,12140610
1562330280000,0.0038602,0.0038732,0.0038779,0.0038575,2359119
1562330340000,0.0038727,0.0038951,0.0039088,0.0038612,6974874
1562330400000,0.0038969,0.0038953,0.003897,0.0038802,930567
1562330460000,0.0038952,0.0038902,0.0038952,0.0038602,1896441
1562330520000,0.0038901,0.0038898,0.0038901,0.0038823,1368495
1562330580000,0.0038898,0.0039,0.0039,0.0038602,16336525
1562330640000,0.0038956,0.0038682,0.0039,0.0038638,3241424
1562330700000,0.0038942,0.00389,0.0038954,0.0038694,2557674
1562330760000,0.00389,0.00388,0.0038955,0.0038737,4690391
1562330820000,0.00388,0.0038891,0.003895,0.0038739,1711698
1562330880000,0.0038888,0.0038704,0.0038939,0.00387,4010569
1562330940000,0.003891,0.0038909,0.0038913,0.00387,10636028
1562331000000,0.0038907,0.0038894,0.0038907,0.00387,4942526
1562331060000,0.0038893,0.00389,0.00389,0.003887,1166530
1562331120000,0.0038899,0.003898,0.003898,0.0038899,3566684
1562331180000,0.003898,0.003898,0.003898,0.0038922,7573182
1562331240000,0.003898,0.0038979,0.003898,0.0038979,3495899
1562331300000,0.0038969,0.0039142,0.0039249,0.0038871,12824655
1562331360000,0.0039142,0.00389,0.0039198,0.00389,1062095
1562331420000,0.0039138,0.0039125,0.0039138,0.0039005,2661331
1562331480000,0.0039099,0.003912,0.003913,0.0039006,1378523
1562331540000,0.0039018,0.0039249,0.0039249,0.0039018,1273636
1562331600000,0.0039153,0.0039262,0.0039284,0.003898,3146484
1562331660000,0.0039244,0.003922,0.003926,0.0039177,51459
